model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
sorter.3,renault,1,3.890,2015-12-02.15:54:45,1177164,1288478,2740540,1288478,2740540,1,-1,-1,-1,-1
bakery.6,ufscc,2,22.270,2015-12-02.15:55:08,2636212,11845035,40400559,11852404,40424762,1,0,7209733,21355432,11846622
cambridge.6,ufscc,2,8.650,2015-12-02.15:55:18,8413,3354295,9483191,3363346,9512785,1,0,9724,6132750,3357712
leader_filters.7,ufscc,2,49.020,2015-12-02.15:56:09,26302351,26302351,91692858,26303079,91696088,1,0,65391537,0,26303079
lup.3,ufscc,2,4.270,2015-12-02.15:56:16,1,1948617,3621672,2095825,3916019,1,0,0,1838968,1968409
resistance.1,ufscc,2,23.350,2015-12-02.15:56:40,3,13762624,32052024,14260387,33139562,1,0,1,18798299,13878634
sorter.3,ufscc,2,3.770,2015-12-02.15:56:45,1177164,1288478,2740540,1290111,2743152,1,251264,1025223,176200,1289977
bakery.6,renault,2,48.350,2015-12-02.15:57:34,2636212,11845035,40400559,20459828,70258621,1,-1,-1,-1,-1
cambridge.6,renault,2,19.190,2015-12-02.15:57:55,8413,3354295,9483191,6700178,18951606,1,-1,-1,-1,-1
leader_filters.7,renault,2,44.550,2015-12-02.15:58:41,26302351,26302351,91692858,26322340,91774043,1,-1,-1,-1,-1
lup.3,renault,2,6.570,2015-12-02.15:58:50,1,1948617,3621672,3897234,7243344,1,-1,-1,-1,-1
resistance.1,renault,2,49.630,2015-12-02.15:59:40,3,13762624,32052024,27525247,64104047,1,-1,-1,-1,-1
sorter.3,renault,2,2.300,2015-12-02.15:59:44,1177164,1288478,2740540,1292622,2749106,1,-1,-1,-1,-1
bakery.6,ufscc,4,13.910,2015-12-02.15:59:59,2636212,11845035,40400559,11901385,40597429,1,0,7220605,21423286,11857100
cambridge.6,ufscc,4,5.860,2015-12-02.16:00:06,8413,3354295,9483191,3389142,9597299,1,0,9777,6164103,3366759
leader_filters.7,ufscc,4,24.970,2015-12-02.16:00:33,26302351,26302351,91692858,26307939,91717220,1,0,65399423,0,26307939
lup.3,ufscc,4,4.370,2015-12-02.16:00:40,1,1948617,3621672,1955058,3636036,1,0,0,1679158,1950799
resistance.1,ufscc,4,13.870,2015-12-02.16:00:54,3,13762624,32052024,15522994,36229447,1,0,1,19171422,14783371
sorter.3,ufscc,4,2.130,2015-12-02.16:00:58,1177164,1288478,2740540,1317614,2803612,1,256332,1036835,183132,1314583
bakery.6,renault,4,48.120,2015-12-02.16:01:47,2636212,11845035,40400559,37769248,130298863,1,-1,-1,-1,-1
cambridge.6,renault,4,18.490,2015-12-02.16:02:07,8413,3354295,9483191,13391944,37888436,1,-1,-1,-1,-1
leader_filters.7,renault,4,21.520,2015-12-02.16:02:30,26302351,26302351,91692858,26407378,92131636,1,-1,-1,-1,-1
lup.3,renault,4,7.700,2015-12-02.16:02:40,1,1948617,3621672,7794468,14486688,1,-1,-1,-1,-1
resistance.1,renault,4,51.550,2015-12-02.16:03:32,3,13762624,32052024,55050496,128208096,1,-1,-1,-1,-1
sorter.3,renault,4,1.510,2015-12-02.16:03:35,1177164,1288478,2740540,1607630,3415281,1,-1,-1,-1,-1
bakery.6,ufscc,6,9.950,2015-12-02.16:03:46,2636212,11845035,40400559,11977450,40858336,1,0,7230431,21500862,11874972
cambridge.6,ufscc,6,4.300,2015-12-02.16:03:52,8413,3354295,9483191,3407723,9659282,1,0,9769,6181545,3377729
leader_filters.7,ufscc,6,17.000,2015-12-02.16:04:11,26302351,26302351,91692858,26311985,91731515,1,0,65405800,0,26311985
lup.3,ufscc,6,5.540,2015-12-02.16:04:19,1,1948617,3621672,2401439,4509034,1,0,0,1923556,2000361
resistance.1,ufscc,6,10.780,2015-12-02.16:04:30,3,13762624,32052024,16919410,39290788,1,0,1,20727174,15255208
sorter.3,ufscc,6,1.240,2015-12-02.16:04:33,1177164,1288478,2740540,1369980,2898253,1,263608,1052050,185461,1365204
bakery.6,renault,6,49.110,2015-12-02.16:05:23,2636212,11845035,40400559,54980068,189961260,1,-1,-1,-1,-1
cambridge.6,renault,6,18.050,2015-12-02.16:05:43,8413,3354295,9483191,20083710,56825266,1,-1,-1,-1,-1
leader_filters.7,renault,6,15.140,2015-12-02.16:05:59,26302351,26302351,91692858,26637426,93020228,1,-1,-1,-1,-1
lup.3,renault,6,6.960,2015-12-02.16:06:09,1,1948617,3621672,11691702,21730032,1,-1,-1,-1,-1
resistance.1,renault,6,49.260,2015-12-02.16:06:59,3,13762624,32052024,82575740,192312140,1,-1,-1,-1,-1
sorter.3,renault,6,1.160,2015-12-02.16:07:01,1177164,1288478,2740540,1738139,3700805,1,-1,-1,-1,-1
bakery.6,ufscc,8,7.440,2015-12-02.16:07:10,2636212,11845035,40400559,12225041,41707339,1,0,7232317,21733742,11884342
cambridge.6,ufscc,8,4.410,2015-12-02.16:07:16,8413,3354295,9483191,3426887,9693607,1,0,9796,6195405,3379389
leader_filters.7,ufscc,8,12.620,2015-12-02.16:07:30,26302351,26302351,91692858,26318007,91758037,1,0,65416246,0,26318007
lup.3,ufscc,8,1.720,2015-12-02.16:07:34,1,1948617,3621672,2248629,4174789,1,0,0,1902247,1973735
resistance.1,ufscc,8,8.820,2015-12-02.16:07:44,3,13762624,32052024,18426673,43091504,1,0,1,21644667,15548740
sorter.3,ufscc,8,0.860,2015-12-02.16:07:46,1177164,1288478,2740540,1383295,2931761,1,267044,1061810,186831,1377996
bakery.6,renault,8,44.770,2015-12-02.16:08:32,2636212,11845035,40400559,72027789,249006827,1,-1,-1,-1,-1
cambridge.6,renault,8,17.940,2015-12-02.16:08:51,8413,3354295,9483191,26775476,75762096,1,-1,-1,-1,-1
leader_filters.7,renault,8,11.410,2015-12-02.16:09:04,26302351,26302351,91692858,26539936,92614958,1,-1,-1,-1,-1
lup.3,renault,8,7.170,2015-12-02.16:09:14,1,1948617,3621672,15588936,28973376,1,-1,-1,-1,-1
resistance.1,renault,8,53.970,2015-12-02.16:10:09,3,13762624,32052024,109379573,254869884,1,-1,-1,-1,-1
sorter.3,renault,8,1.020,2015-12-02.16:10:11,1177164,1288478,2740540,1887147,4019233,1,-1,-1,-1,-1
bakery.6,ufscc,12,5.730,2015-12-02.16:10:18,2636212,11845035,40400559,12009290,40984842,1,0,7242471,21498237,11896610
cambridge.6,ufscc,12,4.740,2015-12-02.16:10:24,8413,3354295,9483191,3415940,9679211,1,0,9743,6182824,3379220
leader_filters.7,ufscc,12,8.960,2015-12-02.16:10:35,26302351,26302351,91692858,26314776,91749076,1,0,65411785,0,26314776
lup.3,ufscc,12,1.420,2015-12-02.16:10:39,1,1948617,3621672,2551813,4800728,1,0,0,1936403,2023272
resistance.1,ufscc,12,7.020,2015-12-02.16:10:47,3,13762624,32052024,19254455,45745208,1,0,1,21836636,16646363
sorter.3,ufscc,12,0.800,2015-12-02.16:10:49,1177164,1288478,2740540,1458659,3080415,1,279754,1088412,195831,1448874
bakery.6,renault,12,43.010,2015-12-02.16:11:33,2636212,11845035,40400559,107270406,371357982,1,-1,-1,-1,-1
cambridge.6,renault,12,18.740,2015-12-02.16:11:53,8413,3354295,9483191,39841104,112506571,1,-1,-1,-1,-1
leader_filters.7,renault,12,8.380,2015-12-02.16:12:03,26302351,26302351,91692858,27299893,95588057,1,-1,-1,-1,-1
lup.3,renault,12,7.510,2015-12-02.16:12:13,1,1948617,3621672,23191519,43145649,1,-1,-1,-1,-1
resistance.1,renault,12,53.970,2015-12-02.16:13:08,3,13762624,32052024,165151480,384624280,1,-1,-1,-1,-1
sorter.3,renault,12,0.770,2015-12-02.16:13:10,1177164,1288478,2740540,2111757,4499570,1,-1,-1,-1,-1
bakery.6,ufscc,16,5.260,2015-12-02.16:13:17,2636212,11845035,40400559,12221159,41698141,1,0,7232777,21701903,11896213
cambridge.6,ufscc,16,3.050,2015-12-02.16:13:21,8413,3354295,9483191,3500088,9974471,1,0,9778,6261959,3424422
leader_filters.7,ufscc,16,6.890,2015-12-02.16:13:30,26302351,26302351,91692858,26331966,91814406,1,0,65432221,0,26331966
lup.3,ufscc,16,0.910,2015-12-02.16:13:33,1,1948617,3621672,2187617,4081965,1,0,0,1835046,1980743
resistance.1,ufscc,16,6.030,2015-12-02.16:13:40,3,13762624,32052024,20553217,48669190,1,0,1,22002917,17388589
sorter.3,ufscc,16,0.610,2015-12-02.16:13:42,1177164,1288478,2740540,1487831,3149057,1,285242,1106861,197450,1478507
bakery.6,renault,16,53.590,2015-12-02.16:14:37,2636212,11845035,40400559,138906779,480623539,1,-1,-1,-1,-1
cambridge.6,renault,16,18.710,2015-12-02.16:14:57,8413,3354295,9483191,52750124,148818052,1,-1,-1,-1,-1
leader_filters.7,renault,16,5.850,2015-12-02.16:15:05,26302351,26302351,91692858,27161763,95028735,1,-1,-1,-1,-1
lup.3,renault,16,7.100,2015-12-02.16:15:15,1,1948617,3621672,31119262,57857729,1,-1,-1,-1,-1
resistance.1,renault,16,53.510,2015-12-02.16:16:09,3,13762624,32052024,219943804,512282080,1,-1,-1,-1,-1
sorter.3,renault,16,0.620,2015-12-02.16:16:11,1177164,1288478,2740540,2094023,4469703,1,-1,-1,-1,-1
bakery.6,ufscc,24,5.190,2015-12-02.16:16:17,2636212,11845035,40400559,12120454,41376184,1,0,7256636,21595130,11929488
cambridge.6,ufscc,24,1.110,2015-12-02.16:16:20,8413,3354295,9483191,3479162,9871450,1,0,9809,6226552,3398840
leader_filters.7,ufscc,24,4.670,2015-12-02.16:16:27,26302351,26302351,91692858,26356049,91913018,1,0,65472304,0,26356049
lup.3,ufscc,24,0.750,2015-12-02.16:16:30,1,1948617,3621672,2683402,5075687,1,0,0,2039450,2046287
resistance.1,ufscc,24,7.930,2015-12-02.16:16:39,3,13762624,32052024,24040644,57334719,1,0,1,25529642,18560364
sorter.3,ufscc,24,0.520,2015-12-02.16:16:41,1177164,1288478,2740540,1584382,3333553,1,300717,1129413,200294,1570763
bakery.6,renault,24,59.390,2015-12-02.16:17:41,2636212,11845035,40400559,206795586,715897342,1,-1,-1,-1,-1
cambridge.6,renault,24,18.530,2015-12-02.16:18:02,8413,3354295,9483191,80020350,226216922,1,-1,-1,-1,-1
leader_filters.7,renault,24,4.150,2015-12-02.16:18:08,26302351,26302351,91692858,27349536,95764210,1,-1,-1,-1,-1
lup.3,renault,24,7.210,2015-12-02.16:18:17,1,1948617,3621672,46736989,86875506,1,-1,-1,-1,-1
resistance.1,renault,24,55.140,2015-12-02.16:19:14,3,13762624,32052024,329812546,768193709,1,-1,-1,-1,-1
sorter.3,renault,24,0.570,2015-12-02.16:19:16,1177164,1288478,2740540,3100521,6624898,1,-1,-1,-1,-1
bakery.6,ufscc,32,5.250,2015-12-02.16:19:22,2636212,11845035,40400559,12413005,42369392,1,0,7260610,21755792,11936255
cambridge.6,ufscc,32,0.900,2015-12-02.16:19:25,8413,3354295,9483191,3490019,9906133,1,0,10011,6231777,3404148
leader_filters.7,ufscc,32,3.460,2015-12-02.16:19:30,26302351,26302351,91692858,26391560,92066795,1,0,65529763,0,26391560
lup.3,ufscc,32,0.660,2015-12-02.16:19:34,1,1948617,3621672,2564419,4864580,1,0,0,2007192,2035582
resistance.1,ufscc,32,8.030,2015-12-02.16:19:42,3,13762624,32052024,23878644,56648440,1,0,1,24787290,18822831
sorter.3,ufscc,32,0.470,2015-12-02.16:19:45,1177164,1288478,2740540,1595677,3359081,1,304275,1127713,204176,1579737
bakery.6,renault,32,64.470,2015-12-02.16:20:50,2636212,11845035,40400559,275672811,954690030,1,-1,-1,-1,-1
cambridge.6,renault,32,17.720,2015-12-02.16:21:10,8413,3354295,9483191,107076668,303004056,1,-1,-1,-1,-1
leader_filters.7,renault,32,3.240,2015-12-02.16:21:15,26302351,26302351,91692858,27455044,96384852,1,-1,-1,-1,-1
lup.3,renault,32,7.220,2015-12-02.16:21:25,1,1948617,3621672,62270780,115752039,1,-1,-1,-1,-1
resistance.1,renault,32,52.790,2015-12-02.16:22:19,3,13762624,32052024,439363427,1023416270,1,-1,-1,-1,-1
sorter.3,renault,32,0.600,2015-12-02.16:22:22,1177164,1288478,2740540,3291821,7077185,1,-1,-1,-1,-1
bakery.6,ufscc,48,1.510,2015-12-02.16:22:24,2636212,11845035,40400559,12387037,42296927,1,0,7266295,21764887,11953907
