model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
cambridge.6,ufscc,32,0.164877,2015-09-05.02:49:03,8413,3354295,9483191,3439294,9749976,32,0,9911,6351883,3388182
L1750L1750T1,ufscc,32,0.883027,2015-09-05.02:49:06,3,9198003,24528008,26372531,65113542,33,0,14722959,27854417,22536166
L350L350T4,ufscc,32,0.236143,2015-09-05.02:49:08,31,3819231,11334492,5694938,17025780,50,0,5827583,6340385,4857812
L4L4T16,ufscc,32,0.069042,2015-09-05.02:49:09,131071,3276775,9830300,3348568,10043908,533,0,3212769,3506937,3324202
leader_filters.7,ufscc,32,0.513587,2015-09-05.02:49:18,26302351,26302351,91692858,26726670,93298103,3139,0,66538893,0,26759210
Li10Lo200,ufscc,32,0.324817,2015-09-05.02:49:20,100,4000000,15200000,7279799,26617259,111,0,12243115,8238181,6135963
Li200Lo10,ufscc,32,0.314568,2015-09-05.02:49:22,40000,4000000,15960000,5624290,21836661,2711,0,10759821,6242628,4834212
Li50Lo40,ufscc,32,0.204202,2015-09-05.02:49:24,2500,4000000,15840000,5159506,20102843,814,0,9866777,5526533,4709533
lup.3,ufscc,32,0.10947,2015-09-05.02:49:25,1,1948617,3621672,2263014,4234157,32,0,0,2244376,1989781
resistance.1,ufscc,32,2.407417,2015-09-05.02:49:31,3,13762624,32052024,21480015,50657174,32,0,1,32769736,17887437
sorter.3,ufscc,32,0.041953,2015-09-05.02:49:31,1177164,1288478,2740540,1405109,2959968,437,269008,1092345,190374,1408241
bakery.6,ufscc,48,0.666742,2015-09-05.02:49:36,2636212,11845035,40400559,12888496,43859274,80,0,7403311,24519967,11935996
cambridge.6,ufscc,48,0.138488,2015-09-05.02:49:37,8413,3354295,9483191,3464082,9827898,48,0,9927,6423388,3394583
L1750L1750T1,ufscc,48,1.096614,2015-09-05.02:49:41,3,9198003,24528008,33765948,80803660,50,0,15551937,35461990,29789733
L350L350T4,ufscc,48,0.307707,2015-09-05.02:49:42,31,3819231,11334492,6251664,18962652,68,0,6674707,7211702,5076243
L4L4T16,ufscc,48,0.117555,2015-09-05.02:49:44,131071,3276775,9830300,3578480,10715617,683,0,3405751,3828095,3481771
leader_filters.7,ufscc,48,0.523345,2015-09-05.02:49:53,26302351,26302351,91692858,26532261,92542651,4351,0,65995433,0,26547218
Li10Lo200,ufscc,48,0.345907,2015-09-05.02:49:55,100,4000000,15200000,7961310,28800940,134,0,13189925,8993994,6617021
Li200Lo10,ufscc,48,0.236472,2015-09-05.02:49:56,40000,4000000,15960000,5086049,20076498,4433,0,9913882,5590694,4571922
Li50Lo40,ufscc,48,0.220081,2015-09-05.02:49:58,2500,4000000,15840000,5374232,20746826,1202,0,10133960,5839948,4772918
lup.3,ufscc,48,0.132851,2015-09-05.02:49:59,1,1948617,3621672,2271561,4269827,48,0,1,2286195,1983631
resistance.1,ufscc,48,1.699008,2015-09-05.02:50:04,3,13762624,32052024,21676412,51054595,48,0,2,32947038,18107555
