model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
sorter.4,renault,1,28.870,2015-12-02.01:16:37,6857056,13184427,27051822,13184427,27051822,1,-1,-1,-1,-1
synapse.4,renault,1,8.720,2015-12-02.01:16:50,585635,2292286,4921830,2292286,4921830,1,-1,-1,-1,-1
synapse.7,renault,1,32.110,2015-12-02.01:17:28,2891451,10198141,19893297,10198141,19893297,1,-1,-1,-1,-1
szymanski.3,renault,1,6.280,2015-12-02.01:17:36,8,1128424,4234041,1128424,4234041,1,-1,-1,-1,-1
szymanski.4,renault,1,11.840,2015-12-02.01:17:50,8,2313863,8550392,2313863,8550392,1,-1,-1,-1,-1
telephony.4,renault,1,64.250,2015-12-02.01:18:57,411677,12291552,64110312,12291552,64110312,1,-1,-1,-1,-1
telephony.7,renault,1,111.300,2015-12-02.01:20:50,1218609,21960308,114070470,21960308,114070470,1,-1,-1,-1,-1
adding.3,ufscc,64,0.460,2015-12-02.01:20:53,1894376,1894376,2921634,2187782,3480906,1,0,1152818,0,2187782
adding.4,ufscc,64,0.480,2015-12-02.01:20:54,3370680,3370680,5201282,3724928,5872323,1,0,1985844,0,3724928
adding.5,ufscc,64,0.470,2015-12-02.01:20:56,5271456,5271456,8135364,5787186,9123217,1,0,3087729,0,5787186
adding.6,ufscc,64,0.580,2015-12-02.01:20:58,7609684,7609684,11746148,8278789,12984191,1,0,4429806,0,8278789
at.3,ufscc,64,0.470,2015-12-02.01:21:00,1,1711620,6075360,1985848,7041979,1,2568,0,4580840,1783065
at.4,ufscc,64,1.170,2015-12-02.01:21:03,1,6597245,25470140,7271761,28106723,1,2203,0,19426719,6765150
bakery.5,ufscc,64,0.980,2015-12-02.01:21:06,1000072,7866401,27018304,8436761,29073032,1,0,3345924,16302391,8027364
bakery.6,ufscc,64,1.360,2015-12-02.01:21:09,2636212,11845035,40400559,12332914,42095172,1,0,7262443,21740341,11965064
bopdp.3,ufscc,64,0.470,2015-12-02.01:21:13,1023793,1040953,2747408,1698756,4818611,1,0,2436323,19248,1686101
brp2.6,ufscc,64,0.810,2015-12-02.01:21:16,25312,5742313,9058624,7538192,12162005,1,0,36324,3925059,7148424
