model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
rmat,ufscc,2,9.762581,2015-09-02.18:41:14,2247072,9999994,100000000,10049162,101139947,1686102,0,1855437,90969322,8315188
ssca2,ufscc,2,3.199879,2015-09-02.18:41:28,31,1048577,157877986,1051334,158284365,23,0,73,157232963,1051329
wiki-links,ufscc,2,5.428902,2015-09-02.18:41:43,2002220,5710993,130160392,5716935,130947352,1962879,12315,3698011,123486863,3750163
livej,ufscc,4,2.084737,2015-09-02.18:41:51,971232,4847571,68993773,4865162,70412234,401334,523736,2253964,63182668,4451866
patent,ufscc,4,0.60686,2015-09-02.18:41:53,3774768,3774768,16518948,3774876,16519572,844539,1,13589198,0,2930373
pokec,ufscc,4,1.04969,2015-09-02.18:41:57,325893,1632804,30622564,1700429,34254738,116173,0,1315189,31414496,1525053
random,ufscc,4,5.798435,2015-09-02.18:42:11,877,10000001,100000000,10440019,104165588,426,0,8352,94157467,9999769
rmat,ufscc,4,4.959367,2015-09-02.18:42:24,2247072,9999994,100000000,10128360,102456133,1686108,0,1870488,92271289,8314356
ssca2,ufscc,4,1.736092,2015-09-02.18:42:36,31,1048577,157877986,1109071,167175072,25,0,72,166112968,1062032
wiki-links,ufscc,4,2.866583,2015-09-02.18:42:49,2002220,5710993,130160392,5750569,134402035,1962679,12662,3699027,126929768,3760578
livej,ufscc,6,1.544859,2015-09-02.18:42:56,971232,4847571,68993773,4928745,74678456,401030,540140,2335436,67325280,4477600
patent,ufscc,6,0.438978,2015-09-02.18:42:58,3774768,3774768,16518948,3775032,16520981,833736,1,13579550,0,2941430
pokec,ufscc,6,0.694228,2015-09-02.18:43:01,325893,1632804,30622564,1683633,33308445,116829,0,1287502,30500315,1520628
random,ufscc,6,4.01765,2015-09-02.18:43:13,877,10000001,100000000,10286740,102868922,428,0,8257,92860825,9999840
rmat,ufscc,6,3.6644,2015-09-02.18:43:25,2247072,9999994,100000000,10438727,110902881,1686123,0,1996764,100583880,8322237
ssca2,ufscc,6,1.152245,2015-09-02.18:43:37,31,1048577,157877986,1115685,167053790,27,0,193,165985637,1067960
wiki-links,ufscc,6,2.054923,2015-09-02.18:43:49,2002220,5710993,130160392,5824460,139782917,1963705,13358,3702047,132292261,3775251
livej,ufscc,8,1.145763,2015-09-02.18:43:55,971232,4847571,68993773,4896374,72729891,400902,531724,2295647,65444005,4458515
patent,ufscc,8,0.356111,2015-09-02.18:43:57,3774768,3774768,16518948,3775124,16521278,827239,1,13573211,0,2948066
pokec,ufscc,8,0.541175,2015-09-02.18:44:00,325893,1632804,30622564,1690230,33552726,117363,0,1293533,30739155,1520038
random,ufscc,8,3.20608,2015-09-02.18:44:12,877,10000001,100000000,10185629,101861877,430,0,8227,91853693,9999957
rmat,ufscc,8,3.00199,2015-09-02.18:44:23,2247072,9999994,100000000,11000873,121141919,1686107,0,2186095,110611050,8344774
ssca2,ufscc,8,1.008879,2015-09-02.18:44:35,31,1048577,157877986,1268307,190490110,29,0,171,189403474,1086465
wiki-links,ufscc,8,1.558778,2015-09-02.18:44:46,2002220,5710993,130160392,5780235,136193653,1963072,12984,3700824,128718839,3761006
livej,ufscc,12,0.886668,2015-09-02.18:44:52,971232,4847571,68993773,4933674,74506957,400568,541399,2339087,67161268,4465203
patent,ufscc,12,0.306978,2015-09-02.18:44:54,3774768,3774768,16518948,3775355,16523156,822279,1,13569789,0,2953366
pokec,ufscc,12,0.437558,2015-09-02.18:44:57,325893,1632804,30622564,1737615,36356678,117898,0,1364583,33468332,1523763
random,ufscc,12,2.388706,2015-09-02.18:45:08,877,10000001,100000000,10170525,101643631,434,0,8208,91634948,10000475
